"UserPrincipalName","Department","DisplayName","IsDeleted","DeletedDate","HasExchangeLicense","HasOneDriveLicense","HasSharePointLicense","HasSkypeForBusinessLicense","HasYammerLicense","HasTeamsLicense","ExchangeLastActivityDate","OneDriveLastActivityDate","SharePointLastActivityDate","SkypeForBusinessLastActivityDate","YammerLastActivityDate","TeamsLastActivityDate","ExchangeLicenseAssignDate","OneDriveLicenseAssignDate","SharePointLicenseAssignDate","SkypeForBusinessLicenseAssignDate","YammerLicenseAssignDate","TeamsLicenseAssignDate","AssignedProducts","LastActivityDate","TeamChatMessageCount","PrivateChatMessageCount","CallCount","MeetingCount","HasOtherAction","ReportPeriod"
"testuser_30075@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30076@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30077@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30078@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30079@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30080@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30081@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30082@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30083@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30084@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30085@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30086@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30087@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30088@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30089@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30090@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30091@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30092@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30093@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30094@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30095@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30096@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30097@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30098@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30099@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30100@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tom.riddle@thefoggi.com","Slytherin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"traderreviewer1@thefoggi.com","Production","Trader Reviewer 1","False","","True","True","True","True","True","True","2020-07-15","","","","","","2020-06-03","2020-06-03","2020-06-03","2020-06-03","2020-06-03","2020-06-03","ENTERPRISE MOBILITY + SECURITY E5+OFFICE 365 E5+MICROSOFT POWER AUTOMATE FREE","","0","0","0","0","No","180"
"traderreviewer2@thefoggi.com","Production","Trader Reviewer 2","False","","True","True","True","True","True","True","2020-06-04","","","","","","2020-06-03","2020-06-03","2020-06-03","2020-06-03","2020-06-03","2020-06-03","ENTERPRISE MOBILITY + SECURITY E5+OFFICE 365 E5","","0","0","0","0","No","180"
"traderssupervisor@thefoggi.com","Production","Traders Supervisor","False","","True","True","True","True","True","True","","","","","","","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","2020-10-05","MICROSOFT POWER AUTOMATE FREE+ENTERPRISE MOBILITY + SECURITY E5+POWER BI (FREE)+OFFICE 365 E5","","0","0","0","0","No","180"
"user_10-0@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-1@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-10@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-11@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-12@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-13@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-14@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-15@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-16@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-17@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-18@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-19@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-2@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-20@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-21@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-22@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-23@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-24@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-25@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-26@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-27@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-28@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-29@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-3@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-30@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-31@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-32@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-33@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-34@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-35@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-36@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-37@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-38@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-39@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-4@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-40@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-41@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-42@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-43@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-44@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-45@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-46@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-47@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-48@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-49@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-5@thefoggi.com","Production","user_10-5","False","","False","False","False","False","False","False","2020-06-04","","","","","","","","","","","","","","0","0","0","0","No","180"
"user_10-50@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-6@thefoggi.com","Production","user_10-6","False","","True","True","True","True","True","True","","","","","","","2020-09-10","2020-09-10","2020-09-10","2020-09-10","2020-09-10","2020-09-10","POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5+AZURE INFORMATION PROTECTION PREMIUM P1+OFFICE 365 E5+MICROSOFT POWER AUTOMATE FREE","","0","0","0","0","No","180"
"user_10-7@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-8@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user_10-9@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"User_Move_Exchange@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user1@thefoggi.com","P&D","User 1","False","","False","True","True","False","True","True","2020-11-27","2020-08-26","2021-01-11","2018-10-08","","2021-01-14","","2020-11-17","2020-11-17","","2020-11-17","2020-11-17","MICROSOFT POWER AUTOMATE FREE+MICROSOFT TEAMS EXPLORATORY","2021-01-14","0","10","1","1","No","180"
"user2@thefoggi.com","Production","User 2","False","","True","True","True","True","True","True","2020-10-22","2018-09-26","2020-10-22","2018-09-26","","2021-01-08","2020-10-22","2020-10-22","2020-10-22","2020-10-22","2020-10-22","2020-10-22","MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+OFFICE 365 E3+ENTERPRISE MOBILITY + SECURITY E5","2021-01-08","0","1","0","1","No","180"
"User3@foggioncloud.onmicrosoft.com","Production","User 3","False","","True","True","True","True","True","True","2020-06-04","2019-10-28","2020-03-03","","","","2020-02-03","2020-02-03","2020-02-03","2020-02-03","2020-02-03","2020-02-03","MICROSOFT TEAMS COMMERCIAL CLOUD+OFFICE 365 E5+AZURE INFORMATION PROTECTION PREMIUM P1","","0","0","0","0","No","180"
"user4@thefoggi.com","Production","User 4","False","","False","True","True","False","True","True","2019-11-07","","","2018-09-26","","","","2020-07-21","2020-07-21","","2020-09-14","2020-09-14","MICROSOFT TEAMS EXPLORATORY","","0","0","0","0","No","180"
"user5@thefoggi.com","Production","User 5","False","","True","True","True","True","True","True","2020-06-04","","","","","","2020-02-05","2020-02-05","2020-02-05","2020-02-05","2020-02-05","2020-02-05","OFFICE 365 E5+AZURE INFORMATION PROTECTION PREMIUM P1","","0","0","0","0","No","180"
"user6@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"userfinance1@thefoggi.com","Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"userfinance2@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"userfinance3@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"userit1@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usersales1@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usersales2@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usersales3@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.1@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.10@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.11@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.12@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.13@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.14@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.15@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.16@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.17@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.18@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.19@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.2@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.20@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.21@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.22@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.23@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.24@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.25@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.26@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.27@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.28@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.3@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.4@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.5@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.6@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.7@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.8@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"usuario.petrobras.9@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
